"object_name","circleness","squareness","symmetry","convexity","eccentricity"
"stick","0.12954996833469115","1.0","1.0","1.0","0.054840615592321604"
"l_stick","0.14061351314899315","0.21467391304347827","0.5286919831223629","0.8709662236342647","0.5344008534277143"
"bone","0.23837394806585543","0.46837881219903693","0.7361206305688828","0.9358396849932827","0.3723132543619549"
"umbrella","0.1412517884563028","0.2248062015503876","0.8614303959131545","0.877931223490973","0.9613044189570848"
"fork","0.20301381395586798","0.4101027397260274","0.46242171189979125","0.7399210518452077","0.2880347929520259"
"cube","0.6721011594405049","0.994261119081779","0.9971139971139971","0.9959799603147529","0.8034276553237124"
"sphere","1.0046256050194382","0.7878787878787878","0.9879807692307692","0.9623911523972454","0.9916744972208331"
"cylinder","0.7453531743796623","0.9489329268292683","0.9879518072289157","0.9806551164825441","0.7904791479239933"
