"principal_component_0","principal_component_1","action","effect_X","effect_Y"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
"VH","ML","pull","NM","NM"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
"VH","ML","pull","NM","NM"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
"VH","ML","pull","NM","NM"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
"VH","ML","pull","NM","NM"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
"VH","ML","pull","NM","NM"
"VL","L","push","VP","NM"
"VL","L","tap_from_left","LP","NM"
"VL","L","tap_from_right","LP","NM"
"VL","L","pull","LN","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","LP","NM"
"VL","L","tap_from_right","LP","NM"
"VL","L","pull","LN","NM"
"VL","L","push","VP","NM"
"VL","L","tap_from_left","LP","NM"
"VL","L","tap_from_right","LP","NM"
"VL","L","pull","LN","NM"
"VL","L","push","VP","NM"
"VL","L","tap_from_left","LP","NM"
"VL","L","tap_from_right","LP","NM"
"VL","L","pull","LN","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","LP","NM"
"VL","L","tap_from_right","LP","NM"
"VL","L","pull","LN","NM"
"VL","L","push","VP","NM"
"VL","L","tap_from_left","LP","NM"
"VL","L","tap_from_right","LP","NM"
"VL","L","pull","LN","NM"
"VL","L","push","VP","NM"
"VL","L","tap_from_left","LP","NM"
"VL","L","tap_from_right","LP","NM"
"VL","L","pull","LN","NM"
"VL","L","push","VP","NM"
"VL","L","tap_from_left","LP","NM"
"VL","L","tap_from_right","LP","NM"
"VL","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
