"tool_cubeness","tool_symmetry","tool_convexity","tool_eccentricity","obj_sphereness","obj_cubeness","obj_symmetry","obj_eccentricity","action","effect_X","effect_Y"
"L","L","MH","ML","MH","H","H","H","pull","VN","NM"
"ML","L","ML","ML","H","MH","MH","MH","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","L","ML","ML","H","MH","MH","MH","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","MH","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","L","ML","ML","H","MH","MH","MH","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","MH","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","L","ML","ML","H","MH","MH","MH","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","MH","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","L","ML","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","L","ML","ML","H","MH","MH","MH","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","MH","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","L","ML","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","L","ML","ML","H","MH","MH","MH","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","MH","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","L","ML","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","L","ML","ML","H","MH","MH","MH","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","MH","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","L","ML","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","L","ML","ML","H","MH","MH","MH","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","MH","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","MH","tap_from_left","NM","NM"
"ML","L","ML","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","L","ML","ML","H","MH","MH","MH","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","H","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","H","tap_from_left","LP","LN"
"ML","L","ML","ML","H","MH","MH","H","tap_from_right","LP","LP"
"ML","L","ML","ML","H","MH","MH","H","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","H","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","H","tap_from_left","LP","LN"
"ML","L","ML","ML","H","MH","MH","H","tap_from_right","LP","LP"
"ML","L","ML","ML","H","MH","MH","H","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","H","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","H","tap_from_left","LP","LN"
"ML","L","ML","ML","H","MH","MH","H","tap_from_right","LP","LP"
"ML","L","ML","ML","H","MH","MH","H","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","H","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","H","tap_from_left","LP","LN"
"ML","L","ML","ML","H","MH","MH","H","tap_from_right","LP","LP"
"ML","L","ML","ML","H","MH","MH","H","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","H","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","H","tap_from_left","LP","LN"
"ML","L","ML","ML","H","MH","MH","H","tap_from_right","LP","LP"
"ML","L","ML","ML","H","MH","MH","H","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","H","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","H","tap_from_left","LP","LN"
"ML","L","ML","ML","H","MH","MH","H","tap_from_right","LP","LP"
"ML","L","ML","ML","H","MH","MH","H","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","H","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","H","tap_from_left","LP","LN"
"ML","L","ML","ML","H","MH","MH","H","tap_from_right","LP","LP"
"ML","L","ML","ML","H","MH","MH","H","pull","NM","NM"
"ML","L","ML","ML","H","MH","MH","H","push","VP","NM"
"ML","L","ML","ML","H","MH","MH","H","tap_from_left","LP","LN"
"ML","L","ML","ML","H","MH","MH","H","tap_from_right","LP","LP"
"ML","L","ML","ML","H","MH","MH","H","pull","NM","NM"
"ML","L","ML","ML","MH","H","H","H","push","LP","NM"
"ML","L","ML","ML","MH","H","H","H","tap_from_left","NM","LN"
"ML","L","ML","ML","MH","H","H","H","tap_from_right","NM","LP"
"ML","L","ML","ML","MH","H","H","H","pull","NM","NM"
"ML","L","ML","ML","MH","H","H","H","push","LP","NM"
"ML","L","ML","ML","MH","H","H","H","tap_from_left","NM","LN"
"ML","L","ML","ML","MH","H","H","H","tap_from_right","NM","LP"
"ML","L","ML","ML","MH","H","H","H","pull","NM","NM"
"ML","L","ML","ML","MH","H","H","H","push","LP","NM"
"ML","L","ML","ML","MH","H","H","H","tap_from_left","NM","LN"
"ML","L","ML","ML","MH","H","H","H","tap_from_right","NM","LP"
"ML","L","ML","ML","MH","H","H","H","pull","NM","NM"
"ML","L","ML","ML","MH","H","H","H","push","LP","NM"
"ML","L","ML","ML","MH","H","H","H","tap_from_left","NM","LN"
"ML","L","ML","ML","MH","H","H","H","tap_from_right","NM","LP"
"ML","L","ML","ML","MH","H","H","H","pull","NM","NM"
"ML","L","ML","ML","MH","H","H","H","push","LP","NM"
"ML","L","ML","ML","MH","H","H","H","tap_from_left","NM","LN"
"ML","L","ML","ML","MH","H","H","H","tap_from_right","NM","LP"
"ML","L","ML","ML","MH","H","H","H","pull","NM","NM"
"ML","L","ML","ML","MH","H","H","H","push","LP","NM"
"ML","L","ML","ML","MH","H","H","H","tap_from_left","NM","LN"
"ML","L","ML","ML","MH","H","H","H","tap_from_right","NM","LP"
"ML","L","ML","ML","MH","H","H","H","pull","NM","NM"
"ML","L","ML","ML","MH","H","H","H","push","LP","NM"
"ML","L","ML","ML","MH","H","H","H","tap_from_left","NM","LN"
"ML","L","ML","ML","MH","H","H","H","tap_from_right","NM","LP"
"ML","L","ML","ML","MH","H","H","H","pull","NM","NM"
"ML","L","ML","ML","MH","H","H","H","push","LP","NM"
"ML","L","ML","ML","MH","H","H","H","tap_from_left","NM","LN"
"ML","L","ML","ML","MH","H","H","H","tap_from_right","NM","LP"
"ML","L","ML","ML","MH","H","H","H","pull","NM","NM"
"L","ML","L","ML","H","MH","MH","MH","push","VP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_left","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_right","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","MH","push","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_left","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_right","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","MH","push","VP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_left","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_right","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","MH","push","VP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_left","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_right","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","MH","push","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_left","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_right","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","MH","push","VP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_left","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_right","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","MH","push","VP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_left","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_right","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","MH","push","VP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_left","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","tap_from_right","LP","NM"
"L","ML","L","ML","H","MH","MH","MH","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","H","push","LP","NM"
"L","ML","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"L","ML","L","ML","H","MH","MH","H","tap_from_right","VP","NM"
"L","ML","L","ML","H","MH","MH","H","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","H","push","LP","NM"
"L","ML","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"L","ML","L","ML","H","MH","MH","H","tap_from_right","VP","NM"
"L","ML","L","ML","H","MH","MH","H","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","H","push","LP","NM"
"L","ML","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"L","ML","L","ML","H","MH","MH","H","tap_from_right","VP","NM"
"L","ML","L","ML","H","MH","MH","H","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","H","push","LP","NM"
"L","ML","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"L","ML","L","ML","H","MH","MH","H","tap_from_right","VP","NM"
"L","ML","L","ML","H","MH","MH","H","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","H","push","LP","NM"
"L","ML","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"L","ML","L","ML","H","MH","MH","H","tap_from_right","VP","NM"
"L","ML","L","ML","H","MH","MH","H","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","H","push","LP","NM"
"L","ML","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"L","ML","L","ML","H","MH","MH","H","tap_from_right","VP","NM"
"L","ML","L","ML","H","MH","MH","H","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","H","push","LP","NM"
"L","ML","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"L","ML","L","ML","H","MH","MH","H","tap_from_right","VP","NM"
"L","ML","L","ML","H","MH","MH","H","pull","LN","NM"
"L","ML","L","ML","H","MH","MH","H","push","LP","NM"
"L","ML","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"L","ML","L","ML","H","MH","MH","H","tap_from_right","VP","NM"
"L","ML","L","ML","H","MH","MH","H","pull","LN","NM"
"L","ML","L","ML","MH","H","H","H","push","LP","NM"
"L","ML","L","ML","MH","H","H","H","tap_from_left","NM","LN"
"L","ML","L","ML","MH","H","H","H","tap_from_right","NM","LP"
"L","ML","L","ML","MH","H","H","H","pull","NM","NM"
"L","ML","L","ML","MH","H","H","H","push","LP","NM"
"L","ML","L","ML","MH","H","H","H","tap_from_left","NM","LN"
"L","ML","L","ML","MH","H","H","H","tap_from_right","NM","LP"
"L","ML","L","ML","MH","H","H","H","pull","NM","NM"
"L","ML","L","ML","MH","H","H","H","push","LP","NM"
"L","ML","L","ML","MH","H","H","H","tap_from_left","NM","LN"
"L","ML","L","ML","MH","H","H","H","tap_from_right","NM","LP"
"L","ML","L","ML","MH","H","H","H","pull","NM","NM"
"L","ML","L","ML","MH","H","H","H","push","LP","NM"
"L","ML","L","ML","MH","H","H","H","tap_from_left","NM","LN"
"L","ML","L","ML","MH","H","H","H","tap_from_right","NM","LP"
"L","ML","L","ML","MH","H","H","H","pull","NM","NM"
"L","ML","L","ML","MH","H","H","H","push","LP","NM"
"L","ML","L","ML","MH","H","H","H","tap_from_left","NM","LN"
"L","ML","L","ML","MH","H","H","H","tap_from_right","NM","LP"
"L","ML","L","ML","MH","H","H","H","pull","NM","NM"
"L","ML","L","ML","MH","H","H","H","push","LP","NM"
"L","ML","L","ML","MH","H","H","H","tap_from_left","NM","LN"
"L","ML","L","ML","MH","H","H","H","tap_from_right","NM","LP"
"L","ML","L","ML","MH","H","H","H","pull","NM","NM"
"L","ML","L","ML","MH","H","H","H","push","LP","NM"
