"principal_component_0","principal_component_1","action","effect_X","effect_Y"
"VL","MH","tap_from_left","NM","LN"
"VL","MH","tap_from_right","NM","LP"
"VL","MH","pull","NM","NM"
"VL","MH","push","LP","NM"
"VL","MH","tap_from_left","NM","LN"
"VL","MH","tap_from_right","NM","LP"
"VL","MH","pull","NM","NM"
"VL","MH","push","LP","NM"
"VL","MH","tap_from_left","NM","LN"
"VL","MH","tap_from_right","NM","LP"
"VL","MH","pull","NM","NM"
"VL","MH","push","LP","NM"
"VL","MH","tap_from_left","NM","LN"
"VL","MH","tap_from_right","NM","LP"
"VL","MH","pull","NM","NM"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","LP","NM"
"VH","L","tap_from_right","LP","NM"
"VH","L","pull","LN","NM"
"VH","L","push","LP","NM"
"VH","L","tap_from_left","LP","NM"
"VH","L","tap_from_right","LP","NM"
"VH","L","pull","LN","NM"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","LP","NM"
"VH","L","tap_from_right","LP","NM"
"VH","L","pull","LN","NM"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","LP","NM"
"VH","L","tap_from_right","LP","NM"
"VH","L","pull","LN","NM"
"VH","L","push","LP","NM"
"VH","L","tap_from_left","LP","NM"
"VH","L","tap_from_right","LP","NM"
"VH","L","pull","LN","NM"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","LP","NM"
"VH","L","tap_from_right","LP","NM"
"VH","L","pull","LN","NM"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","LP","NM"
"VH","L","tap_from_right","LP","NM"
"VH","L","pull","LN","NM"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","LP","NM"
"VH","L","tap_from_right","LP","NM"
"VH","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
